fighter_name,fighter_url,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,recent_fights_count,fight_0_date,fight_0_event,fight_0_method,fight_0_opponent,fight_0_result,fight_0_round,fight_1_date,fight_1_event,fight_1_method,fight_1_opponent,fight_1_result,fight_1_round,fight_2_date,fight_2_event,fight_2_method,fight_2_opponent,fight_2_result,fight_2_round,fight_3_date,fight_3_event,fight_3_method,fight_3_opponent,fight_3_result,fight_3_round,fight_4_date,fight_4_event,fight_4_method,fight_4_opponent,fight_4_result,fight_4_round,fight_5_date,fight_5_event,fight_5_method,fight_5_opponent,fight_5_result,fight_5_round,fight_6_date,fight_6_event,fight_6_method,fight_6_opponent,fight_6_result,fight_6_round,fight_7_date,fight_7_event,fight_7_method,fight_7_opponent,fight_7_result,fight_7_round,fight_8_date,fight_8_event,fight_8_method,fight_8_opponent,fight_8_result,fight_8_round,fight_9_date,fight_9_event,fight_9_method,fight_9_opponent,fight_9_result,fight_9_round
Marcin Tybura,http://www.ufcstats.com/fighter-details/c9cf753cfdf77fc2,3.56,48,3.26,55,1.30,33,70,0.1,24,"Mar. 28, 2026",UFC Fight Night: Adesanya vs. Pyfer,,Tyrell Fortune,loss,3,"Sep. 06, 2025",UFC Fight Night: Imavov vs. Borralho,KO/TKO,Ante Delija,loss,1,"Mar. 22, 2025",UFC Fight Night: Edwards vs. Brady,,Mick Parkin,win,3,"Nov. 16, 2024",UFC 309: Jones vs. Miocic,KO/TKO,Jhonata Diniz,win,2,"Aug. 10, 2024",UFC Fight Night: Tybura vs. Spivac 2,,Serghei Spivac,loss,1,"Mar. 16, 2024",UFC Fight Night: Tuivasa vs. Tybura,,Tai Tuivasa,win,1,"Jul. 22, 2023",UFC Fight Night: Aspinall vs. Tybura,KO/TKO,Tom Aspinall,loss,1,"Feb. 04, 2023",UFC Fight Night: Lewis vs. Spivac,,Blagoy Ivanov,win,3,"Aug. 20, 2022",UFC 278: Usman vs. Edwards,,Alexandr Romanov,win,3,"Oct. 30, 2021",UFC 267: Blachowicz vs. Teixeira,,Alexander Volkov,loss,3
Dusko Todorovic,http://www.ufcstats.com/fighter-details/866fd7b1a6c90e7f,4.73,57,4.40,48,1.77,21,42,0.3,11,"Sep. 13, 2025",UFC Fight Night: Lopes vs. Silva,,Jose Daniel Medina,win,1,"May. 31, 2025",UFC Fight Night: Blanchfield vs. Barber,,Zach Reese,loss,3,"Nov. 09, 2024",UFC Fight Night: Magny vs. Prates,KO/TKO,Mansur Abdul-Malik,loss,1,"Mar. 18, 2023",UFC 286: Edwards vs. Usman 3,KO/TKO,Christian Leroy Duncan,loss,1,"Oct. 15, 2022",UFC Fight Night: Grasso vs. Araujo,KO/TKO,Jordan Wright,win,2,"May. 21, 2022",UFC Fight Night: Holm vs. Vieira,KO/TKO,Chidi Njokuani,loss,1,"Dec. 04, 2021",UFC Fight Night: Font vs. Aldo,KO/TKO,Maki Pitolo,win,1,"Jun. 05, 2021",UFC Fight Night: Rozenstruik vs. Sakai,,Gregory Rodrigues,loss,3,"Jan. 16, 2021",UFC Fight Night: Holloway vs. Kattar,KO/TKO,Punahele Soriano,loss,1,"Oct. 03, 2020",UFC Fight Night: Holm vs. Aldana,KO/TKO,Dequan Townsend,win,2
Robert Valentin,http://www.ufcstats.com/fighter-details/0cd0456d6029cec2,1.30,55,2.72,33,0.59,50,55,1.8,4,"Apr. 18, 2026",UFC Fight Night: Burns vs. Malott,,Julien Leblanc,win,1,"Jul. 19, 2025",UFC 318: Holloway vs. Poirier 3,KO/TKO,Ateba Gautier,loss,1,"Apr. 05, 2025",UFC Fight Night: Emmett vs. Murphy,,Torrez Finney,loss,3,"Aug. 24, 2024",UFC Fight Night: Cannonier vs. Borralho,KO/TKO,Ryan Loder,loss,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vlasto Cepo,http://www.ufcstats.com/fighter-details/025c1ee70b2cedf4,0.00,0,0.00,0,0.00,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilbert Urbina,http://www.ufcstats.com/fighter-details/b12fb759e02378de,5.57,56,4.62,44,2.86,44,0,0.7,4,"Aug. 09, 2025",UFC Fight Night: Dolidze vs. Hernandez,KO/TKO,Uros Medic,loss,1,"Feb. 03, 2024",UFC Fight Night: Dolidze vs. Imavov,KO/TKO,Charles Radtke,loss,1,"May. 20, 2023",UFC Fight Night: Dern vs. Hill,KO/TKO,Orion Cosce,win,2,"Aug. 28, 2021",UFC Fight Night: Barboza vs. Chikadze,,Bryan Battle,loss,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jovan Leka,http://www.ufcstats.com/fighter-details/182a73d5b4e57871,1.60,75,0.60,43,1.00,100,55,1.0,1,"Oct. 14, 2025",DWCS 9.10,,Azamat Nuftillaev,win,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Gimenis,http://www.ufcstats.com/fighter-details/6a311920edd73c85,3.21,42,9.64,47,0.00,0,0,0.0,1,"Nov. 08, 2025",UFC Fight Night: Bonfim vs. Brown,KO/TKO,Josh Hokit,loss,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ludovit Klein,http://www.ufcstats.com/fighter-details/5b86d491d63890c5,3.76,53,3.48,53,1.37,51,76,0.0,12,"Oct. 25, 2025",UFC 321: Aspinall vs. Gane,,Mateusz Rebecki,win,3,"May. 31, 2025",UFC Fight Night: Blanchfield vs. Barber,,Mateusz Gamrot,loss,3,"Sep. 28, 2024",UFC Fight Night: Moicano vs. Saint Denis,,Roosevelt Roberts,win,3,"Jun. 08, 2024",UFC Fight Night: Cannonier vs. Imavov,,Thiago Moises,win,3,"Mar. 02, 2024",UFC Fight Night: Rozenstruik vs. Gaziev,KO/TKO,AJ Cunningham,win,1,"Aug. 05, 2023",UFC Fight Night: Sandhagen vs. Font,,Ignacio Bahamondes,win,3,"Mar. 18, 2023",UFC 286: Edwards vs. Usman 3,,Jai Herbert,draw,3,"Jul. 23, 2022",UFC Fight Night: Blaydes vs. Aspinall,,Mason Jones,win,3,"Mar. 05, 2022",UFC 272: Covington vs. Masvidal,,Devonte Smith,win,3,"Oct. 16, 2021",UFC Fight Night: Ladd vs. Dumont,,Nate Landwehr,loss,3
Tofiq Musayev,http://www.ufcstats.com/fighter-details/ae81a3ac7b260411,1.84,46,1.74,50,2.30,60,50,0.0,2,"Mar. 28, 2026",UFC Fight Night: Adesanya vs. Pyfer,,Ignacio Bahamondes,win,3,"Jun. 21, 2025",UFC Fight Night: Hill vs. Rountree Jr.,,Myktybek Orolbai,loss,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Vologdin,http://www.ufcstats.com/fighter-details/0e6b611451a9a7d8,6.93,47,10.00,40,0.50,14,57,0.0,2,"Apr. 18, 2026",UFC Fight Night: Burns vs. Malott,,John Castaneda,draw,3,"Oct. 07, 2025",DWCS 9.9,,Adrian Luna Martinetti,loss,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josias Musasa,http://www.ufcstats.com/fighter-details/723b64c0e9a8f348,3.19,45,4.39,36,0.90,50,81,0.5,3,"Sep. 27, 2025",UFC Fight Night: Ulberg vs. Reyes,,Colby Thicknesse,loss,3,"Mar. 15, 2025",UFC Fight Night: Vettori vs. Dolidze 2,,Carlos Vera,loss,1,"Sep. 10, 2024",DWCS 8.5,,Otari Tanzilovi,win,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Buzukja,http://www.ufcstats.com/fighter-details/c4d039123e62f6a9,4.21,43,4.79,48,0.62,27,75,0.2,7,"Apr. 18, 2026",UFC Fight Night: Burns vs. Malott,KO/TKO,Marcio Barbosa,loss,1,"Aug. 24, 2024",UFC Fight Night: Cannonier vs. Borralho,,Francis Marshall,loss,3,"Mar. 30, 2024",UFC Fight Night: Blanchfield vs. Fiorot,KO/TKO,Connor Matthews,win,3,"Nov. 11, 2023",UFC 295: Prochazka vs. Pereira,KO/TKO,Jamall Emmers,loss,1,"Aug. 05, 2023",UFC Fight Night: Sandhagen vs. Font,,Sean Woodson,loss,3,"Jul. 26, 2022",DWCS 6.1,,Kaleio Romero,win,3,"Sep. 01, 2020",DWCS 4.5,,Melsik Baghdasaryan,loss,3,,,,,,,,,,,,,,,,,,
Bogdan Grad,http://www.ufcstats.com/fighter-details/fb37795db81f93f3,4.06,51,5.06,49,4.22,40,75,0.0,5,"Nov. 22, 2025",UFC Fight Night: Tsarukyan vs. Hooker,KO/TKO,Luke Riley,loss,2,"Jun. 21, 2025",UFC Fight Night: Hill vs. Rountree Jr.,,Muhammad Naimov,loss,3,"Feb. 01, 2025",UFC Fight Night: Adesanya vs. Imavov,KO/TKO,Lucas Alexander,win,2,"Aug. 27, 2024",DWCS 8.3,,Michael Aswell Jr.,win,3,"Aug. 08, 2023",DWCS 7.1,KO/TKO,Tom Nolan,loss,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan Blachowicz,http://www.ufcstats.com/fighter-details/99df7d0a2a08a8a8,3.55,50,3.14,52,0.98,48,69,0.4,22,"Dec. 06, 2025",UFC 323: Dvalishvili vs. Yan 2,,Bogdan Guskov,draw,3,"Mar. 22, 2025",UFC Fight Night: Edwards vs. Brady,,Carlos Ulberg,loss,3,"Jul. 29, 2023",UFC 291: Poirier vs. Gaethje 2,,Alex Pereira,loss,3,"Dec. 10, 2022",UFC 282: Blachowicz vs. Ankalaev,,Magomed Ankalaev,draw,5,"May. 14, 2022",UFC Fight Night: Blachowicz vs. Rakic,KO/TKO,Aleksandar Rakic,win,3,"Oct. 30, 2021",UFC 267: Blachowicz vs. Teixeira,,Glover Teixeira,loss,2,"Mar. 06, 2021",UFC 259: Blachowicz vs. Adesanya,,Israel Adesanya,win,5,"Sep. 26, 2020",UFC 253: Adesanya vs. Costa,KO/TKO,Dominick Reyes,win,2,"Feb. 15, 2020",UFC Fight Night: Anderson vs. Blachowicz,KO/TKO,Corey Anderson,win,1,"Nov. 16, 2019",UFC Fight Night: Blachowicz vs. Jacare,,Jacare Souza,win,5
Bogdan Guskov,http://www.ufcstats.com/fighter-details/ef5dcb10d2bd4b0f,4.57,55,4.09,44,0.00,0,57,0.7,6,"Dec. 06, 2025",UFC 323: Dvalishvili vs. Yan 2,,Jan Blachowicz,draw,3,"Jul. 26, 2025",UFC Fight Night: Whittaker vs. De Ridder,KO/TKO,Nikita Krylov,win,1,"Jan. 18, 2025",UFC 311: Makhachev vs. Moicano,,Billy Elekana,win,2,"Apr. 27, 2024",UFC Fight Night: Nicolau vs. Perez,KO/TKO,Ryan Spann,win,2,"Feb. 10, 2024",UFC Fight Night: Hermansson vs. Pyfer,KO/TKO,Zac Pauga,win,1,"Sep. 02, 2023",UFC Fight Night: Gane vs. Spivac,,Volkan Oezdemir,loss,1,,,,,,,,,,,,,,,,,,,,,,,,
Oban Elliott,http://www.ufcstats.com/fighter-details/6b56e94a59b7b134,3.62,48,2.24,61,1.52,40,52,0.0,6,"Jan. 31, 2026",UFC 325: Volkanovski vs. Lopes 2,,Jonathan Micallef,loss,2,"Jun. 21, 2025",UFC Fight Night: Hill vs. Rountree Jr.,,Seokhyeon Ko,loss,3,"Nov. 16, 2024",UFC 309: Jones vs. Miocic,KO/TKO,Bassil Hafez,win,3,"Jul. 27, 2024",UFC 304: Edwards vs. Muhammad 2,,Preston Parsons,win,3,"Feb. 17, 2024",UFC 298: Volkanovski vs. Topuria,,Val Woodburn,win,3,"Aug. 22, 2023",DWCS 7.3,,Kaik Brito,win,3,,,,,,,,,,,,,,,,,,,,,,,,
Michael Oliveira,http://www.ufcstats.com/fighter-details/037cfd34a27d59e9,8.40,51,3.36,66,0.00,0,100,0.0,1,"Oct. 14, 2025",DWCS 9.10,KO/TKO,Victor Valenzuela,win,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nina Milosevic,http://www.ufcstats.com/fighter-details/eabece0edc2d62ca,0.00,0,0.00,0,0.00,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hailey Cowan,http://www.ufcstats.com/fighter-details/3c26c420584d912d,2.66,43,2.92,40,1.95,42,80,0.0,4,"Apr. 04, 2026",UFC Fight Night: Moicano vs. Duncan,KO/TKO,Alice Pereira,loss,2,"Apr. 12, 2025",UFC 314: Volkanovski vs. Lopes,,Nora Cornolle,loss,2,"Apr. 29, 2023",UFC Fight Night: Song vs. Simon,,Jamey-Lyn Horth,loss,3,"Aug. 16, 2022",DWCS 6.4,,Claudia Leite,win,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
